sample_index,mcm3,ifitm2,ifitm1,cd9,ptma,zwint,snrpn,slc25a53,snap47,tecr
63576_GSM1552929_SRR1660628,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552930_SRR1660629,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552931_SRR1660630,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552932_SRR1660631,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552933_SRR1660632,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552936_SRR1660635,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552937_SRR1660636,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552938_SRR1660637,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552939_SRR1660638,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63576_GSM1552940_SRR1660639,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552941_SRR1660640,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63576_GSM1552942_SRR1660641,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552943_SRR1660642,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552944_SRR1660643,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552945_SRR1660644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63576_GSM1552946_SRR1660645,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552947_SRR1660646,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63576_GSM1552948_SRR1660647,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63576_GSM1552949_SRR1660648,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63576_GSM1552951_SRR1660650,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63576_GSM1552953_SRR1660652,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63576_GSM1552955_SRR1660654,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552956_SRR1660655,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552957_SRR1660656,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552960_SRR1660659,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552961_SRR1660660,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63576_GSM1552962_SRR1660661,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63576_GSM1552963_SRR1660662,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552964_SRR1660663,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63576_GSM1552965_SRR1660664,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63576_GSM1552969_SRR1660668,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63576_GSM1552970_SRR1660669,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552971_SRR1660670,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552972_SRR1660671,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63576_GSM1552973_SRR1660672,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552974_SRR1660673,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552975_SRR1660674,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63576_GSM1552976_SRR1660675,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
63576_GSM1552979_SRR1660678,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552980_SRR1660679,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
